Target,Reporter Countries,Source,Partner Countries,Element,Item Code,Item,Unit,Value,Value_scaled,Link Color,Commodity,,,,,,
20,Denmark,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,1021,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Netherlands,
23,Austria,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,1038,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Germany,
24,France,3,Belgium,Import Quantity,664,"Cocoa, butter",tonnes,1040,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Ireland,
24,France,7,Spain,Import Quantity,664,"Cocoa, butter",tonnes,1192,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Belgium,
31,Spain,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,1210,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Lithuania,
21,United Kingdom of Great Britain and Northern Ireland,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,1376,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Côte d'Ivoire,
25,Greece,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,1507,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Austria,
32,Poland,10,Italy,Import Quantity,664,"Cocoa, butter",tonnes,1587,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Poland,
26,Germany,3,Belgium,Import Quantity,664,"Cocoa, butter",tonnes,1631,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Spain,
38,Italy,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,1703,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,France,
24,France,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,1817,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Portugal,
30,Netherlands,9,United Kingdom of Great Britain and Northern Ireland,Import Quantity,664,"Cocoa, butter",tonnes,1924,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,United Kingdom of Great Britain and Northern Ireland,
31,Spain,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,2271,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Italy,
32,Poland,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,2551,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Slovakia,
26,Germany,7,Spain,Import Quantity,664,"Cocoa, butter",tonnes,2598,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Denmark,!
37,Slovakia,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,3064,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Ghana,
29,Bulgaria,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,3265,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Croatia,!
28,Finland,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,3557,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Sweden,
40,Czechia,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,3783,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Czechia,!
33,Belgium,9,United Kingdom of Great Britain and Northern Ireland,Import Quantity,664,"Cocoa, butter",tonnes,3999,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Finland,!
21,United Kingdom of Great Britain and Northern Ireland,8,France,Import Quantity,664,"Cocoa, butter",tonnes,4075,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Greece,
23,Austria,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,4160,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,Bulgaria,
21,United Kingdom of Great Britain and Northern Ireland,13,Ghana,Import Quantity,664,"Cocoa, butter",tonnes,4422,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,8,France,Import Quantity,664,"Cocoa, butter",tonnes,5162,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
27,Sweden,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,5620,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,8,France,Import Quantity,664,"Cocoa, butter",tonnes,6682,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
41,Ireland,9,United Kingdom of Great Britain and Northern Ireland,Import Quantity,664,"Cocoa, butter",tonnes,7384,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,8,France,Import Quantity,664,"Cocoa, butter",tonnes,7719,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,8,France,Import Quantity,664,"Cocoa, butter",tonnes,7892,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,8052,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
24,France,13,Ghana,Import Quantity,664,"Cocoa, butter",tonnes,8509,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,8977,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,13,Ghana,Import Quantity,664,"Cocoa, butter",tonnes,8978,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,9222,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,11097,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,12315,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,1,Germany,Import Quantity,664,"Cocoa, butter",tonnes,14314,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,14329,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
24,France,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,19249,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,19746,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,20054,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
24,France,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,20295,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,4,Côte d'Ivoire,Import Quantity,664,"Cocoa, butter",tonnes,23041,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,8,France,Import Quantity,664,"Cocoa, butter",tonnes,23160,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,13,Ghana,Import Quantity,664,"Cocoa, butter",tonnes,26915,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,52702,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,3,Belgium,Processed,23620,"Cocoa, butter",tonnes,81534,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,0,Netherlands,Import Quantity,664,"Cocoa, butter",tonnes,87068,,"rgba(119, 125, 167, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,1024,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
25,Greece,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,1047,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,6,Poland,Import Quantity,662,"Cocoa, paste",tonnes,1162,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
28,Finland,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,1180,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,1183,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,1368,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,1568,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,1810,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,11,Slovakia,Import Quantity,662,"Cocoa, paste",tonnes,2062,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,7,Spain,Import Quantity,662,"Cocoa, paste",tonnes,2161,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2273,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
39,Croatia,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2311,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
28,Finland,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,2346,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,11,Slovakia,Import Quantity,662,"Cocoa, paste",tonnes,2421,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,12,Denmark,Processed,23610.01,"Cocoa, paste",tonnes,2686,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
27,Sweden,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,2861,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,8,France,Import Quantity,662,"Cocoa, paste",tonnes,2980,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,3183,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,3206,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,3708,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
40,Czechia,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,3716,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,15,Sweden,Processed,23610.01,"Cocoa, paste",tonnes,3813,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,3904,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,3,Belgium,Import Quantity,662,"Cocoa, paste",tonnes,4088,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,4130,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,8,France,Import Quantity,662,"Cocoa, paste",tonnes,4341,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,8,France,Import Quantity,662,"Cocoa, paste",tonnes,4632,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,5062,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,5557,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,18,Greece,Processed,23610.01,"Cocoa, paste",tonnes,5736,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,19,Bulgaria,Processed,23610.01,"Cocoa, paste",tonnes,6130,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,6714,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,0,Netherlands,Import Quantity,662,"Cocoa, paste",tonnes,7260,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,6,Poland,Import Quantity,662,"Cocoa, paste",tonnes,7745,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,5,Austria,Processed,23610.01,"Cocoa, paste",tonnes,7882,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,8043,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,8231,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,8659,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,1,Germany,Import Quantity,662,"Cocoa, paste",tonnes,8930,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
24,France,13,Ghana,Import Quantity,662,"Cocoa, paste",tonnes,9170,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
